ACARAId,SchoolName,SchoolType,SchoolURL,States ,Email,Numbers,SchoolGeographicLocation,IndependentSchool,SchoolSector
48096,A B Paterson College,Pri/Sec,https://www.abpat.qld.edu.au/,QLD,abpat@abpat.qld.edu.au,,30,Y,NG
44003,A.G.B.U. Alexander Primary School,Prim,http://www.alexander.nsw.edu.au,NSW,office@alexander.nsw.edu.au,36 917 834 687,10,Y,NG
44370,Abbotsford Primary School,Prim,http://www.abbotsfordps.vic.edu.au,VIC,abbotsford.ps@education.vic.gov.au,"03 9428 5977, 0394285977",20,N,Gov
40987,Abbotsford Public School,Prim,https://abbotsford-p.schools.nsw.gov.au,NSW,abbotsford-p.school@det.nsw.edu.au,02 9713 6220,10,N,Gov
41852,Aberdeen Public School,Prim,https://aberdeen-p.schools.nsw.gov.au,NSW,aberdeen-p.school@det.nsw.edu.au,02 6543 7271,11,N,Gov
49663,Aberfoyle Park High School,Sec,http://www.aphs.sa.edu.au,SA,dl.1673.info@schools.sa.edu.au,,40,N,Gov
41853,Abermain Public School,Prim,https://abermain-p.schools.nsw.gov.au,NSW,abermain-p.school@det.nsw.edu.au,02 4930 4210,10,N,Gov
50072,Acacia Hill School,Special,http://www.acaciahill.nt.edu.au/,NT,"acaciahill.school@ntschools.net, acaciahill.school@education.nt.gov.au","870 08 8955 2222, 08 8955 2222",73,N,Gov
45704,Academy of Mary Immaculate,Sec,http://www.academy.vic.edu.au,VIC,enquiry@academy.vic.edu.au,"69 154 531 870, 03 9412 7100",20,N,NG
41854,Adamstown Public School,Prim,https://adamstown-p.schools.nsw.gov.au,NSW,adamstown-p.school@det.nsw.edu.au,02 4957 1114,10,N,Gov
52576,Adelaide Botanic High School,Sec,http://www.abhs.sa.edu.au,SA,dl.1919.info@schools.sa.edu.au,(08) 8214 7700,40,N,Gov
49559,Adelaide East Education Centre,Special,http://www.adelaideeastec.sa.edu.au/,SA,dl.0997.info@schools.sa.edu.au,(08) 8337 6345,40,N,Gov
49453,Adelaide High School,Sec,http://www.adelaidehs.sa.edu.au,SA,dl.0768.office@schools.sa.edu.au,,40,N,Gov
52254,Adelaide International School,Sec,https://ais.edu.au/,SA,info@ais.edu.au,"61 (08) 8123 1786, 85 132 879 086, 45 626 876 453",40,Y,NG
